fir_code,icao_prefix,country,fir_name
DBBB,DB,Benin,COTONOU TMA
DXXX,DX,Togo,LOME UTA
XX04,XX,UNKNOWN,NO FIR ONE
MNPS1,MN,UNKNOWN,NAT-HLA
MNPS2,MN,UNKNOWN,CMNPS
XX02,XX,UNKNOWN,NO FIR
OLBB,OL,UNKNOWN,BEIRUT
LQSB,LQ,UNKNOWN,SARAJEVO
UMMV,UM,Belarus/Kaliningrad,MINSK
ANAU,AN,Nauru,NAURU
DGAC,DG,Ghana,ACCRA
DNKK,DN,Nigeria,KANO
DRRR,DR,Niger,NIAMEY
DTTC,DT,Tunisia,TUNIS-FIR
EISN,EI,Ireland,SHANNON
EKDK,EK,Denmark,KOBENHAVN
EYVL,EY,Lithuania,VILNIUS
FIMM,FI,Mauritius,MAURITIUS
FMMM,FM,Madagascar/Comoros,ANTANANARIVO
FSSS,FS,Seychelles,SEYCHELLES
GLRB,GL,Liberia,ROBERTS
GMMM,GM,Morocco,CASABLANCA
GVSC,GV,Cape Verde,SAL OCEANIC
HAAA,HA,Ethiopia,ADDIS ABABA
HBBA,HB,Burundi,BUJUMBURA
HCSM,HC,Somalia,MOGADISHU
HHAA,HH,Eritrea,ASMARA
HLLL,HL,Libya,TRIPOLI FIR
KZAB,KZ,United States,ALBUQUERQUE
KZAUF,KZ,United States,CHICAGO
KZDV,KZ,United States,DENVER
KZFW,KZ,United States,FORT WORTH
KZHU,KZ,United States,HOUSTON
KZHUO,KZ,United States,HOUSTON OCEANIC
KZIDF,KZ,United States,INDIANAPOLIS
KZKC,KZ,United States,KANSAS CITY
KZMEF,KZ,United States,MEMPHIS
KZTLF,KZ,United States,ATLANTA
LFEE,LF,France,REIMS
LFRR,LF,France,BREST
LGGG,LG,Greece,ATHINAI
LIBB,LI,Italy,BRINDISI
LIRR,LI,Italy,ROMA
LJLA,LJ,Slovenia,LJUBLJANA
LLLL,LL,Israel,TEL AVIV
LMMM,LM,Malta,MALTA
LOVV,LO,Austria,WIEN
LPPC,LP,Portugal,LISBOA
LPPO,LP,Portugal,SANTA MARIA
LUUU,LU,Moldova,CHISINAU
LWSS,LW,North Macedonia,SKOPJE
LYBA,LY,Serbia/Montenegro,BEOGRAD
LZBB,LZ,Slovakia,BRATISLAVA
MDCS,MD,Dominican Republic,SANTO DOMINGO
MTEG,MT,Haiti,PORT AU PRINCE
MYNA,MY,Bahamas,NASSAU
NFFF,NF,Fiji,NADI
NTTT,NT,French Polynesia,TAHITI
OJAC,OJ,Jordan,AMMAN
OOMM,OO,Oman,MUSCAT
ORBB,OR,Iraq,BAGHDAD
OSTT,OS,Syria,DAMASCUS
OYSC,OY,Yemen,SANAA
PHZH,PH,United States (Hawaii),HONOLULU
RCAA,RC,Taiwan,TAIPEI
RKRR,RK,South Korea,INCHEON
SAEF,SA,Argentina,EZEIZA
SCEZ,SC,Chile,SANTIAGO
SCFZ,SC,Chile,ANTOFAGASTA
SCIZ,SC,Chile,VUELO ISLA DE PASCUA
SCTZ,SC,Chile,PUERTO MONTT
SGFA,SG,Paraguay,ASUNCION
SMPM,SM,Suriname,PARAMARIBO
SPIM,SP,Peru,LIMA
TJZS,TJ,US (Puerto Rico),SAN JUAN OCEANIC
TTZP,TT,Trinidad and Tobago,PIARCO
UDDD,UD,Armenia,YEREVAN
UKBV,UK,Ukraine,KYIV FIR
UKOV,UK,Ukraine,ODESA FIR
UTAK,UT,Turkmenistan/Tajikistan,TURKMENBASHI-FIR
VCCF,VC,Sri Lanka,COLOMBO
VGFR,VG,Bangladesh,DHAKA
VHHK,VH,Hong Kong,HONG KONG
VNSM,VN,Nepal,KATHMANDU
VRMF,VR,Maldives,MALE
ZKKP,ZK,North Korea,PYONGYANG
ZMUB,ZM,Mongolia,ULAANBAATAR
EGGX,EG,United Kingdom,SHANWICK
FACA,FA,South Africa,CAPE TOWN
MHCC,MH,Honduras,CENTRAL AMERICA
MKJK,MK,Jamaica,KINGSTON
MPZL,MP,Panama,PANAMA
SEFG,SE,Ecuador,GUAYAQUIL
ZBPE,ZB,China (Beijing),BEIJING
ZLHW,ZL,China (Lanzhou),LANZHOU
ZSHA,ZS,China (Shanghai),SHANGHAI
