AWID,NDID,NDIC,
------,-----,----,---------------
A1,BKK,VT,135336N1003548E
A1,ROBKA,VT,141042N1012506E
A1,SELKA,VT,142018N1015312E
A1,TOPER,VT,143806N1024536E
A1,SANOT,VT,145136N1032548E
A1,PASAT,VT,145724N1034724E
A1,VENPO,VT,150642N1042200E
A1,UBL,VT,151442N1045200E
A1,POTEV,VT,152154N1052206E
A1,BUTRA,VL,152506N1053548E
A1,PAPRA,VL,154600N1071100E
A1,TANNA,VV,155412N1073930E
A1,PATNO,VV,155754N1075306E
A1,DAN,VV,160312N1081154E
A1,KANGU,VV,162118N1083954E
A1,BINKU,VV,163336N1085824E
A1,BUNTA,ZJ,165000N1092342E
A1,LENKO,ZJ,172500N1101800E
A1,IKELA,ZJ,183942N1121442E
A1,IDOSI,VH,190000N1123000E
A1,BIGEX,VH,221312N1140148E
A1,MAGOG,ZG,221748N1154930E
A1,ELATO,RC,222000N1173000E
A1,ANPOG,RC,223618N1175718E
A1,KADLO,RC,225718N1183230E
A1,MKG,RC,233542N1193812E
A1,SWORD,RC,240012N1200542E
A1,WUCHI,RC,241206N1201906E
A1,HOMEI,RC,241406N1202124E
A1,HLG,RC,243336N1204336E
A1,PIDGY,RC,245000N1210442E
A1,APU,RC,251036N1213118E
A1,ANNNA,RC,253418N1220118E
A1,DRAKE,RC,253654N1220442E
A1,AISAR,RC,255636N1222954E
A1,OSTAR,RC,261954N1230000E
A1,AIPOM,RC,263924N1232530E
A1,BULAN,RC,270530N1240000E
A1,IGMON,RJ,273718N1244312E
A1,SAPET,RJ,283812N1260754E
A1,URUMA,RJ,285812N1263448E
A1,AKVAS,RJ,293512N1272754E
A1,RUSAR,RJ,295154N1275012E
A1,JEDAI,RJ,304630N1291206E
A1,KOSHI,RJ,311718N1295754E
A1,KAZAN,RJ,312306N1300642E
A1,HKC,RJ,314148N1303500E
A1,JINGU,RJ,315412N1310254E
A1,FENIX,RJ,320830N1313530E
A1,SUC,RJ,324524N1325948E
A1,GREEN,RJ,325354N1333400E
A1,JAKAL,RJ,330342N1341406E
A1,HALON,RJ,331454N1345948E
A1,ALBAT,RJ,332154N1352630E
A1,KEC,RJ,332654N1354742E
A10,PR,CY,541548N1302524W
A10,MITEK,CY,534600N1295048W
A10,YJQ,CY,521106N1280648W
A100,KL,UR,475306N0400600E
A100,ROS,UR,473006N0395600E
A100,AMEPU,UR,471154N0394930E
A100,SARZI,UR,463548N0384300E
A100,ENILO,UR,461030N0380200E
A100,UGZIR,UR,455324N0373500E
A100,RIDLA,UR,454500N0372154E
A100,ARNAD,UR,452100N0363848E
A102,BABUR,UR,452312N0493000E
A102,UP,UR,455536N0470336E
A102,OLINU,UR,460600N0463036E
A102,SUFOR,UR,462430N0452936E
A102,BAKAM,UR,465636N0433754E
A102,NEPUT,UR,471000N0424736E
A102,OBETI,UR,472800N0413648E
A102,KA,UR,473518N0410654E
A102,ABLOG,UR,474818N0402236E
A102,KL,UR,475306N0400600E
A102,ODRIB,UR,475442N0395812E
A102,NALEM,UK,475700N0394830E
A103,PINAX,UT,371500N0690600E
A103,OKTAB,UT,381054N0685336E
A103,DBE,UT,383230N0684918E
A103,SX,UT,385042N0685042E
A103,AMEMA,UT,392000N0685300E
A103,BITBI,UT,393330N0685412E
A103,PF,UT,400336N0685642E
A103,RORTA,UT,400824N0690154E
A103,ASBUG,UT,401312N0690618E
A103,DILRO,UT,402430N0691636E
A103,IRLOV,UT,404230N0693500E
A103,PESEN,UT,405854N0702300E
A103,UDALU,UT,405948N0703112E
A107,KYLOB,UT,375918N0694824E
A107,NAVOX,UT,380500N0692000E
A107,ABNAR,UT,381536N0690848E
A107,DBE,UT,383230N0684918E
A107,PR,UT,383218N0682342E
A107,SOPNO,UZ,383236N0680412E
A114,OLRAM,UZ,390130N0675824E
A114,MOSOM,UT,393400N0681000E
A117,ASB,UT,380012N0582006E
A117,URABA,UT,381330N0591918E
A117,DUTAR,UT,383918N0612300E
A117,LBA,UT,385448N0633524E
A118,CHARD,UT,391530N0634924E
A118,LBA,UT,385448N0633524E
A118,VATIN,UT,384854N0611442E
A118,TENGA,UT,384636N0605506E
A118,ABDAN,UT,383542N0592154E
A120,UNISO,US,611724N0633936E
A120,OLEMI,US,605536N0640154E
A120,DEMUP,US,602548N0643124E
A120,PIGUR,US,600700N0644954E
A122,URL,UA,510854N0513236E
A122,INRIS,UA,512800N0521854E
A122,EKTEN,UW,513242N0523030E
A125,ASB,UT,380012N0582006E
A125,KEMOR,UT,375330N0592054E
A125,BELUG,UT,374500N0603154E
A125,NINOP,UT,373718N0615330E
A125,RINAT,UT,374118N0632206E
A125,RARUN,UT,374630N0643300E
A125,ABNEP,UT,374900N0651300E
A14,KRK,LG,392636N0200424E
A14,MALED,LG,391318N0201812E
A14,NIDRI,LG,390324N0202824E
A14,ROTSA,LG,385230N0203912E
A14,SOTEG,LG,383542N0205630E
A14,ARA,LG,380930N0212548E
A14,TRL,LG,372412N0222024E
A14,EKTOS,LG,370724N0231730E
A14,ALANI,LG,365442N0235930E
A14,MIL,LG,364454N0243112E
A14,ALIKI,LG,355530N0252054E
A14,XAVIS,LG,354142N0253436E
A14,SIT,LG,350406N0261118E
A14,GUDIS,LG,343206N0274600E
A14,KAVOS,LG,334400N0300000E
A145,LORNO,LI,372400N0190000E
A145,RESPA,LG,372448N0205730E
A145,BERAP,LG,372442N0213748E
A145,ANEPI,LG,372424N0221142E
